Category,Sub Category,Product,Description,Price,Product Image,Product Url,Configuration
Parts,Parts;Memory;SO;DIMMDDR3PC3;8500;PAMESOD3G410,SO-DIMM DDR3 PC3-8500 1066Mhz 4Gb kit (2Gb x2)[PAMESOD3G410],"Description: SO-DIMM DDR3 PC8500 1066Mhz 2Gb x2 = total 4Gb (2x SO-DIMMs)Note: Sample image onlyModel: Suit MacBook Intel Core 2 Duo 2Ghz/2.4Ghz 13"" Unibody (original)Note: Suits other models (to be updated)Part number(s): PAMESOD3G41066",$49.00,,http://www.applebits.net/catalog/product_info.php?products_id=937&osCsid=8ejq4nn3tg3epsic5ae90fk2f1,
Parts,Parts;Memory;SO;DIMMDDR3PC3;10600;PAMESOD3G610,SO-DIMM: DDR3 PC3-10600 1333Mhz 16Gb kit (8Gb x2)[PAMESOD3G610],"Description: SO-DIMM DDR3 PC10600 1333Mhz 8Gb x2 = total 16Gb (2x SO-DIMMs)Note: Sample image onlyModel: Suit MacBook Intel Core i5 and i7 2011 only in2/2.2/2.3/2.4/2.5/2.6/2.8/2.9 in 13"" and 15"" and 17"" Unibody models (does not suit any 2012 models nor Retina models in both 13"" and 15"")Note: Suits other models (to be updated)Part number(s): PAMESOD3G610",$199.00,,http://www.applebits.net/catalog/product_info.php?products_id=936&osCsid=8ejq4nn3tg3epsic5ae90fk2f1,
,;Services/Solutions;;Services;SVREGPMBP357,"Service - GPU repair for MacBook Pro 13""/15""/17"" parts + labour[SVREGPMBP357]","Service: GPU repair for MacBook Pro 13""/15""/17""Symptoms: Common symptoms on MacBook Pros are:-- Horizontal or vertical lines on LCD-- Cannot get past startup screen ie: LCD shows white/grey screen after the Apple logo and startup process-- Purple/blue/red vertical lines or bars on LCD upon startup-- Black screen (no video)-- White/grey screen, and nothing elseComprises: This service includes replacing GPU in MacBook Pro ie: replacing the graphics chip on the logic board with a new GPU; there are other services that provide a cheaper service, but they only provide a solder reflow service or a reheat service. They do not replace the GPU so they are only providing a band aid solution ie: a temporary fix that will fail soon thereafterNote: This service includes parts and labour, a 3 month return to base warranty, and free delivery of your MacBook Pro to you, anywhere in Australia",$369.00,,http://www.applebits.net/catalog/product_info.php?products_id=934&osCsid=8ejq4nn3tg3epsic5ae90fk2f1,
iPads/iPhones/iPods,iPads/iPhones/iPods;iPhones;iPhone5/5s;IP0500G064WS,iPhone 5 64Gb A1429 MD663 White/Silver [used/refurb][IP0500G064WS],"iPhone 5 with Apple A6 processor @ 1.3Ghz (1x processor; 2x cores);Ultra high-density 4"" IPS LED backlit display 1136x640 resolution @ 326ppi;1Gb onboard RAM (non-upgradeable);64Gb of internal storage (non-upgradeable);USB Sync and Charge support;Built-in cameras - front and rear-- The rear ""iSight"" camera supports HD video recording (1080p up to 30fps with audio), and also has autofocus, a backside illumination sensor, a hybrid IR filter, and an LED flash. It also has support for tap to focus, face detection, improved video stabilization and panorama shots. The front ""FaceTime HD"" camera takes 1.2 megapixel photos and HD video (720p up to 30fps).;Supports UMTS/HSPA+/DC-HSDPA (850, 900, 1900, 2100 MHz); GSM/EDGE (850, 900, 1800, 1900 MHz); and LTE (Bands 1, 3, 5);Built-in wireless 802.11a/b/g/n;Built-in Bluetooth 4.0;1x Lightning port;1x Headphone port;Built-in Lithium Ion battery;Apple model: A1429 (EMC 2610), MD663 (iPhone5,1);Apple description: iPhone 5 White and Silver [codename N41];Introduced: September 2012;Discontinued: September 2013",$469.00,http://www.applebits.net/images/products/ip/iph/ip5white.jpg,http://www.applebits.net/catalog/product_info.php?products_id=933&osCsid=8ejq4nn3tg3epsic5ae90fk2f1,
iPads/iPhones/iPods,iPads/iPhones/iPods;iPhones;iPhone5/5s;IP0500G064BS,iPhone 5 64Gb A1429 MD662 Black/Slate [used/refurb][IP0500G064BS],"iPhone 5 with Apple A6 processor @ 1.3Ghz (1x processor; 2x cores);Ultra high-density 4"" IPS LED backlit display 1136x640 resolution @ 326ppi;1Gb onboard RAM (non-upgradeable);64Gb of internal storage (non-upgradeable);USB Sync and Charge support;Built-in cameras - front and rear-- The rear ""iSight"" camera supports HD video recording (1080p up to 30fps with audio), and also has autofocus, a backside illumination sensor, a hybrid IR filter, and an LED flash. It also has support for tap to focus, face detection, improved video stabilization and panorama shots. The front ""FaceTime HD"" camera takes 1.2 megapixel photos and HD video (720p up to 30fps).;Supports UMTS/HSPA+/DC-HSDPA (850, 900, 1900, 2100 MHz); GSM/EDGE (850, 900, 1800, 1900 MHz); and LTE (Bands 1, 3, 5);Built-in wireless 802.11a/b/g/n;Built-in Bluetooth 4.0;1x Lightning port;1x Headphone port;Built-in Lithium Ion battery;Apple model: A1429 (EMC 2610), MD662 (iPhone5,1);Apple description: iPhone 5 Black and Slate [codename N41];Introduced: September 2012;Discontinued: September 2013",$469.00,http://www.applebits.net/images/products/ip/iph/ip5black.jpg,http://www.applebits.net/catalog/product_info.php?products_id=932&osCsid=8ejq4nn3tg3epsic5ae90fk2f1,
Desktops,Desktops;MacPros;DTXEM2G2406D,Mac Pro Xeon 6 Core/2.4Ghz Dual (12 cores; M12) A1289 MD771[DTXEM2G2406D],"Intel Xeon E5645 6 Core (6 per processor) with 12 MB of ""fully shared"" L3 cache per processor @ 2.4Ghz per processor x2 = 12 cores total -- also known as a 12 core processor machine or 2x 6 Core machine;Architecture: 64 Bit;12Gb RAM DDR3 PC3-10600 (1333Mhz) ECC SDRAM (128Gb actual maximum);1Tb Serial-ATA hard drive (expansion bays up to 4 hard drives);Tray-loading Dual Layer SuperDrive optical drive -- reads/writes/rewrites CDs and DVDs (expansion bays up to 2 optical drives);ATI Radeon HD 5770 graphics card with 1GB GDDR5 SDRAM; PCI Express 16-lane (1x dual-link DVI; 2x MiniDisplay Port)-- Supports up to 2 displays on the one card;Audio in - 1x 3.5mm analog input jack; 1x optical S/PDIF (Toslink) input;Audio out - 2x 3.5mm analog output jacks; 1x optical S/PDIF (Toslink) output; 1x built-in speaker;2x built-in 10/100/1000BASE-T Gigabit Ethernet;Built-in 802.11a/b/g/n AirPort Extreme wireless;Bluetooth 2.1 + EDR card;2x 4-lane PCIe 2.0 slots; 2x 16-lane PCIe 2.0 slots (PCIe = PCI Express);4x FireWire 800 ports (up to 800 Mbps);5x USB 2.0 ports (up to 480 Mbps);Model ID: A1289 (EMC 2629), MD771 (MacPro5,1);Apple description: Mac Pro (Mid 2012) [codename Westmere];Introduced: June 2012;Discontinued: October 2013*;The below figures may vary and change according to the Geekbench website:-- Geekbench 2 (64 bit): 19887-- Geekbench 3 (32 bit): 20107-- Geekbench 3 (64 bit): 22053","$2,695.00",http://www.applebits.net/images/products/dt/xe/dtxempro.jpg,http://www.applebits.net/catalog/product_info.php?products_id=931&osCsid=8ejq4nn3tg3epsic5ae90fk2f1,
Parts,Parts;Desktops;iMacCore;2;Duos;iMacCD/C2Duos;Videocards;PADT661;5579,"Video card: ATI Radeon 5670 HD 512Mb iMac 27"" M10 661-5579[PADT661-5579]",,$449.00,,http://www.applebits.net/catalog/product_info.php?products_id=930&osCsid=8ejq4nn3tg3epsic5ae90fk2f1,
Parts,Parts;Desktops;iMacCore;2;Duos;iMacCD/C2Duos;Logicboards;PADT661;4428,"Logic board: iMac Core 2 Duo 24"" 2.4Ghz 661-4428 820-2110-A[PADT661-4428]",,$449.00,,http://www.applebits.net/catalog/product_info.php?products_id=929&osCsid=8ejq4nn3tg3epsic5ae90fk2f1,
iPads/iPhones/iPods,iPads/iPhones/iPods;iPhones;iPhone6/6Plus;IP06P0G064SW,iPhone 6 Plus 64Gb A1524 MGAJ2 Silver/White [used/refurb][IP06P0G064SW],"iPhone 6 Plus with Apple A8 processor @ 1.4Ghz (1x processor; 2x cores);Ultra high-density 5.5"" IPS LED backlit ""Retina HD"" display 1920x1080 resolution @ 401ppi;1Gb onboard RAM (non-upgradeable);64Gb of internal storage (non-upgradeable);USB Sync and Charge support;Built-in cameras - front and rear-- The rear 8 megapixel ""iSight"" camera has 1.5 micron pixels and a f/2.2 aperture and supports HD video recording (1080p up to 30fps with audio as well as support for ""slo-mo"" video (120fps or 240fps.) Apple states that this camera includes new ""Autofocus with Focus Pixels"" (phase detection autofocus capability), and also has a sapphire crystal lens cover, a dual LED-based flash that Apple refers to as ""True Tone,"" a backside illumination sensor, a five-element lens, and a hybrid IR filter. In software, the camera also supports auto image stabilization, auto HDR for photos, ""improved"" face detection, panorama support up to 43 megapixels, burst mode, photo geotagging, and a timer mode. The front ""FaceTime"" camera has an f/2.2 aperture and takes 1.2 megapixel photos and 720p HD video.;Supports CDMA EV-DO Rev. A and Rev. B (800, 1700/2100, 1900, 2100 MHz), UMTS/HSPA+/DC-HSDPA (850, 900, 1700/2100, 1900, 2100 MHz), TD-SCDMA 1900 (F), 2000 (A), GSM/EDGE (850, 900, 1800, 1900 MHz), FDD-LTE (Bands 1, 2, 3, 4, 5, 7, 8, 13, 17, 18, 19, 20, 25, 26, 28, 29), [and] TD-LTE (Bands 38, 39, 40, 41).;Built-in wireless 802.11a/b/g/n/ac;Built-in Bluetooth 4.0;1x Lightning port;1x Headphone port;Built-in Lithium Ion battery;Apple model: A1524 (EMC 2817), MGAJ2 (iPhone7,1);Apple description: iPhone 6 Plus Silver/White [codename N56];Introduced: September 2014;Discontinued: --Current--","$1,089.00",http://www.applebits.net/images/products/ip/iph/ip6psilver.jpg,http://www.applebits.net/catalog/product_info.php?products_id=926&osCsid=8ejq4nn3tg3epsic5ae90fk2f1,
Accessories,Accessories;AdaptersandCables;ACADDVIADC,AC Adapter: DVI->ADC Apple with USB cable [used][ACADDVIADC],"Description: This DVI to ADC AC adapter will fit any PowerMac G4/G5 or Mac Pro or PowerBook G4 or MacBook Pro or Mac Mini with a DVI port on the video card or on the side of the portable, and allow an Apple LCD monitor with an ADC connection to be connected. Ordinarily, a PowerMac G4/G5 with an ADC port would supply power to an Apple LCD monitor with an ADC port, but since DVI does not supply power to any LCD monitor this AC adapter is able to supply power to an Apple LCD monitor with an ADC connection.This AC adapter also may work with iMacs and MacBooks with a mini DVI port, but an additional mini-DVI to DVI adapter is required.Part number(s): A1006Length: The AC adapter with cables is approx 80cm long",$149.00,,http://www.applebits.net/catalog/product_info.php?cPath=41_15&products_id=502&osCsid=huc93ra4nq18e071furuohppk3,
